,Commit Message,HOW,Quality attributes changes,Code smells,Other,WHY,WHERE,WHAT,After fixing a bug,Before releasing the code,During code review ,After introducing major functional changes,WHEN,WHO,Severity/Importance of the fixed problem,Benefits from the introduced changes ,,,,Nbr components,
1,introduce UndeclaredIOException for the API,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
2,Major Refactor: Content is no more!,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,3,
3,"Revert Bug 408994 - Wrong indentation when adding a newline between parentheses (regression after fix for 406357). 6 new unit tests added.""""",0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,,,,5,
4,Abstract SSH setup to support GIT_SSH,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,3,
5,"trilead doesn't always return the exit code right away, so wait for a while to avoid NPE.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
6,Rename package.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
7,"More relaxation, refactor adapting asserts with Predicates.",1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,,,,4,
8,Adding type coercion adapter for JmxAgentModes enum,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
9,Cleaned up FluentBpmnProcessInstanceImpl and moved Exception to ExecutionAssert.,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,,,3,
10,"IMap.lockMap(time, unit) IMap.unlockMap() implementation cleanup",0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,,,,5,
11,HSEARCH-468 First step. Pushed main code into hibernate-search,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
12,Renamed src/org/robovm/ide -> src/org/robovm/eclipse.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
13,Unified the handling of Predictor terms,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
14,Convert to IOExceptions in FileOutStream,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
15,Clean up of thumbnail support.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
16,filtering products allowed to be added,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,1,
17,"[FIX] XQuery, #896, no immediate dep. check when importing repo modules.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
18,HBASE-1010 Regionserver OOME handler should dump vital stats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
19,web plugin - w3c validator ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
20,JBIDE-13614 BrowserSim: source code refactoring,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,,2,
21,Debug Screenshot configure panel.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
22,Added IActionDelegate1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
23,neue Beispiel-Funktionen hinzugefÃ¼gt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
24,Convert generation of JS to listener. Compiles. Tests green. Needs cleanup.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
25,ONYX-1541 Whole Body scan data extraction added.,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
26,PRD-4181 - Some more refactorings - moving inner classes to AbstractRendererComponent,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,3,
27,CAMEL-7999: More components include documentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
28,editing the declarations and package conversion methods in preparation for support for adapted xml type.,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,3,
29,Ability to test SWT apps without adding dependencies on eclipse. Fixes #1514 #1541,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,4,
30,fixes for bbc ion schedule updater,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
31,Rename NewRole to Role.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
32,Corrected UserBanningVm that was pushed by mistake,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,1,
33,Some changes to userData handling. Added country flag to some dialogs. Saved and restored some more table columns width and order information.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
34,update to struts 1.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
35,JBIDE-15511 CordovaSim: Fixing inAppBrowser.execScript processing,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,4,
36,Fix issue with dependent projects referencing WOFrameworks Code cleanup,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,4,
37,More stuff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
38,Closes GH-0584 Add bundle purge service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
39,"fixing kafka avrÃ² message encoder to use new interface, also updated EtlCounts to use interface",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,3,
40,JBRULES-3343 Property Specific -Large rewrite for how masks are determined and used in the network -All mask determination is now done at compile time -Rule Removal is now supported,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,2,
